@relation data_combine

@attribute Year numeric
@attribute 'Unit Name' {DMP,CMP,KMP,RMP,BMP,SMP,'Dhaka Range','Mymensingh Range','Chittagong Range','Sylhet Range','Khulna Range','Barisal Range','Rajshahi Range','Rangpur Range','Railway Range',GMP,RPMP}
@attribute Dacoity numeric
@attribute Robbery numeric
@attribute Murder numeric
@attribute 'Speedy Trial' numeric
@attribute Riot numeric
@attribute 'Woman & Child Repression' numeric
@attribute Kidnapping numeric
@attribute 'Police Assault' numeric
@attribute Burglary numeric
@attribute Theft numeric
@attribute 'Other Cases' numeric
@attribute 'Arms Act' numeric
@attribute Explosive numeric
@attribute Narcotics numeric
@attribute Smuggling numeric
@attribute 'Total Cases' numeric

@data
2011,KMP,3,13,23,17,0,171,12,10,57,92,478,14,3,495,9,1397
2011,RMP,2,14,18,3,3,146,16,11,55,101,665,8,1,253,199,1495
2011,BMP,18,8,15,12,0,147,9,12,40,88,564,11,0,196,80,1200
2011,SMP,9,24,37,42,1,158,16,16,31,129,857,8,0,178,32,1538
2011,'Dhaka Range',160,174,1199,361,17,4838,144,117,607,1731,19993,260,25,7497,1076,38199
2011,'Mymensingh Range',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,'Chittagong Range',164,116,640,241,10,4397,105,116,458,1130,13846,192,20,4122,555,26112
2011,'Sylhet Range',60,42,283,58,19,987,40,27,177,481,5473,19,0,1464,190,9320
2011,'Khulna Range',58,124,414,105,5,2796,119,32,395,902,10452,152,60,2168,1047,18829
2011,'Barisal Range',33,43,194,473,8,1060,60,20,214,331,6611,41,6,350,19,9463
2011,'Rajshahi Range',81,146,780,179,22,4735,121,58,385,1388,21174,114,11,2763,2276,34233
2011,'Rangpur Range',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,'Railway Range',3,5,21,5,0,8,2,1,1,95,172,3,0,264,115,695
2011,GMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,RPMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,DMP,66,222,264,388,11,1637,149,136,592,2240,8296,284,94,8345,99,22823
2012,CMP,10,66,88,74,18,281,27,26,112,283,1492,121,5,1976,41,4620
2012,KMP,1,18,23,14,0,199,16,9,44,76,493,17,7,437,19,1373
2012,RMP,2,24,37,9,6,122,11,15,52,136,728,5,3,229,130,1509
2012,BMP,8,9,20,7,0,135,5,11,40,75,600,16,0,459,49,1434
2012,SMP,8,15,37,52,3,140,6,28,42,116,784,11,1,186,4,1433
2012,'Dhaka Range',154,150,1244,426,7,5115,156,135,634,1742,21957,315,28,10918,1039,44020
2012,'Mymensingh Range',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,'Chittagong Range',129,103,664,267,17,4221,120,122,430,1134,15873,232,13,4613,531,28469
2012,'Sylhet Range',56,26,236,66,17,848,26,29,152,480,6018,38,3,1751,186,9932
2012,'Khulna Range',64,151,482,153,12,2564,167,46,359,761,11275,260,110,3372,1207,20983
2012,'Barisal Range',34,61,170,232,1,1168,55,13,186,277,6879,44,11,444,56,9631
2012,'Rajshahi Range',38,55,464,132,0,2281,54,47,155,554,11932,131,12,3120,2124,21099
2012,'Rangpur Range',20,53,354,85,2,2235,53,41,129,607,9586,32,2,1083,959,15241
2012,'Railway Range',3,11,31,2,0,1,5,1,0,117,199,5,0,331,134,840
2012,GMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,RPMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,DMP,47,241,270,338,37,1631,165,203,534,2196,7077,242,387,7927,106,21401
2013,CMP,4,55,95,57,24,244,18,68,74,239,1281,79,37,1977,36,4288
2013,KMP,2,30,31,23,0,153,12,20,39,78,494,23,14,442,9,1370
2013,RMP,3,23,29,19,15,152,23,58,54,166,791,22,15,144,108,1622
2013,BMP,11,11,17,8,1,110,8,25,27,46,487,16,4,607,9,1387
2013,SMP,19,29,32,33,2,131,3,30,26,136,739,19,31,194,4,1428
2013,'Dhaka Range',147,175,1303,451,14,4766,149,182,686,1555,22429,296,133,11139,627,44052
2013,'Mymensingh Range',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,'Chittagong Range',143,132,758,262,56,3532,130,336,425,960,15863,320,91,4801,354,28163
2013,'Sylhet Range',53,35,266,75,21,834,37,42,109,398,5773,27,3,1620,186,9479
2013,'Khulna Range',76,126,520,181,1,2309,153,99,356,720,10968,253,148,2286,1873,20069
2013,'Barisal Range',40,31,209,115,1,1185,62,44,154,244,6920,27,15,502,28,9577
2013,'Rajshahi Range',47,63,480,168,0,2161,63,99,134,513,10810,163,100,2716,1896,19413
2013,'Rangpur Range',18,62,345,163,0,2389,54,50,142,533,10032,27,27,1213,1120,16175
2013,'Railway Range',3,8,38,3,0,4,2,1,2,98,266,3,2,264,81,775
2013,GMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,RPMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,DMP,47,220,245,363,3,1370,139,155,555,1915,7228,518,82,10535,144,23519
2014,CMP,16,108,94,31,7,455,37,31,123,314,1831,51,0,866,99,4063
2014,KMP,3,9,29,25,0,153,11,4,65,91,551,19,2,792,13,1767
2014,RMP,4,20,21,9,15,157,9,12,53,106,578,3,4,332,248,1571
2014,BMP,8,12,19,21,0,112,6,8,24,83,557,17,0,155,117,1139
2014,SMP,12,33,33,34,1,104,14,12,33,154,866,14,0,154,20,1484
2014,'Dhaka Range',162,199,1153,362,7,4272,171,71,643,1477,19966,309,30,4459,993,34274
2014,'Mymensingh Range',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,'Chittagong Range',153,122,639,245,32,2915,111,87,429,998,12985,235,20,4730,612,24313
2014,'Sylhet Range',85,43,245,75,17,848,41,19,186,524,5266,30,4,905,172,8460
2014,'Khulna Range',74,125,513,110,15,2275,156,25,332,947,9954,211,96,2292,1238,18363
2014,'Barisal Range',38,37,207,112,3,991,65,13,214,374,6561,33,5,334,33,9020
2014,'Rajshahi Range',54,130,757,276,29,4095,105,35,442,1442,20654,134,10,3614,2509,34286
2014,'Rangpur Range',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,'Railway Range',0,1,33,3,1,5,5,1,2,104,142,1,0,176,165,639
